"","Timestamp","City","State/Province","Country","Bonus question:  Have you made a PR to our GitHub org yet?","X6","full_address","lon","lat"
"50","2/5/2017 15:52:00","Greensboro","NC","United States","No",NA,"Greensboro, NC, United States",-79.7919754,36.0726354
"51","2/5/2017 16:11:05","Chicago","IL","US","No",NA,"Chicago, IL, US",-87.6297982,41.8781136
"52","2/5/2017 17:11:18","New York","NY","USA","No",NA,"New York, NY, USA",-74.0059413,40.7127837
"53","2/5/2017 19:16:52","Atlanta","GA","USA","No","*move to SF, CA in June","Atlanta, GA, USA",-84.3879824,33.7489954
"54","2/6/2017 6:14:12","Arlington","VA","USA","No",NA,"Arlington, VA, USA",-77.0909809,38.8816208
"55","2/6/2017 6:36:46","Washington","D.C.","USA","No",NA,"Washington, D.C., USA",-77.0368707,38.9071923
"56","2/6/2017 6:55:06","Milwaukee","Wisconsin","USA","No",NA,"Milwaukee, Wisconsin, USA",-87.9064736,43.0389025
"57","2/6/2017 8:36:47","Linville","VA","United States","No",NA,"Linville, VA, United States",-78.8375257,38.5204001
"58","2/6/2017 8:58:53","Austin","TX","USA","No",NA,"Austin, TX, USA",-97.7430608,30.267153
"59","2/6/2017 11:17:48","Washington","DC","USA","Yes, for a project",NA,"Washington, DC, USA",-77.0368707,38.9071923
"60","2/6/2017 12:49:36","Denver","Colorado","United States","No",NA,"Denver, Colorado, United States",-104.990251,39.7392358
"61","2/7/2017 1:01:14","New York","NY","US","Yes, for a project",NA,"New York, NY, US",-74.0059413,40.7127837
"62","2/7/2017 2:15:33","Como","Lombardia","Italy","No",NA,"Como, Lombardia, Italy",9.0851765,45.8080597
"63","2/7/2017 5:21:55","Centreville","Virginia","United States","No",NA,"Centreville, Virginia, United States",-77.4288769,38.8403909
"64","2/7/2017 7:13:24","Cordova",NA,"United States","No",NA,"Cordova, NA, United States",-97.3531033,40.7172296
"65","2/7/2017 13:25:50","SF Bay Area","California","USA","No",NA,"SF Bay Area, California, USA",-122.2913078,37.8271784
"66","2/8/2017 0:14:55","Edmonton","Alberta","Canada","Yes, to the playground",NA,"Edmonton, Alberta, Canada",-113.4909267,53.544389
"67","2/8/2017 7:53:36","Hong Kong",NA,"China","No",NA,"Hong Kong, NA, China",114.2109318,22.4162632
"68","2/8/2017 8:55:00","Brooklyn","New York","United States","No",NA,"Brooklyn, New York, United States",-73.9441579,40.6781784
"69","2/8/2017 13:40:48","Orlando","FL","USA","Yes, for a project",NA,"Orlando, FL, USA",-81.3792365,28.5383355
"70","2/8/2017 23:04:44","Austin","TX","USA","No",NA,"Austin, TX, USA",-97.7430608,30.267153
"71","2/9/2017 9:41:58","New York","NY","USA","No",NA,"New York, NY, USA",-74.0059413,40.7127837
"72","2/9/2017 10:02:04","Boston","MA","United States","No",NA,"Boston, MA, United States",-71.0588801,42.3600825
"73","2/9/2017 10:11:51","Nashville","TN","United States","Yes, for a project",NA,"Nashville, TN, United States",-86.7816016,36.1626638
"74","2/9/2017 10:40:08","Fremont","CA","USA","No",NA,"Fremont, CA, USA",-121.9885719,37.5482697
"75","2/9/2017 10:46:08","Wellington","Florida","United States","No",NA,"Wellington, Florida, United States",-80.2683571,26.6617635
"76","2/9/2017 12:06:35","Columbus","OH","United States","Yes, for a project",NA,"Columbus, OH, United States",-82.9987942,39.9611755
